ts.IDnum.w1,id,ts.endDateTime.w1,ts.exclusion.age.w1,outgoing1,findfault1,thorough1,nervous1,imagination1,reserved1,trusting1,lazy1,relaxed1,unartistic1,talkative1,original1,quarrels1,tense1,ingenious1,depressed1,enthusiasm1,forgiving1,assertive1,disorganized1,emotionallystable1,inventive1,cold1,perseveres1,moody1,artistic1,shy1,efficient1,calm1,routine1,plans1,reflect1,cooperate1,distracted1,sophisticated1,reliable1,worries1,quiet1,rude1,careless1,helpful1,considerate1,energy1,curious1,talkative2,findfault2,thorough2,depressed2,original2,reserved2,careless2,energy2,quarrels2,tense2,ingenious2,enthusiasm2,forgiving2,disorganized2,trusting2,emotionallystable2,inventive2,assertive2,cold2,perseveres2,connected2,moody2,artistic2,shy2,efficient2,calm2,routine2,plans2,nervous2,reflect2,unartistic2,cooperate2,distracted2,sophisticated2,helpful2,likesothers2,imagination2,outgoing2,lazy2,relaxed2,reliable2,worries2,quiet2,rude2,considerate2,curious2,talkative3,findfault3,thorough3,depressed3,original3,reserved3,careless3,energy3,quarrels3,tense3,ingenious3,enthusiasm3,forgiving3,disorganized3,trusting3,emotionallystable3,inventive3,assertive3,cold3,perseveres3,moody3,artistic3,shy3,efficient3,calm3,routine3,plans3,nervous3,reflect3,unartistic3,cooperate3,distracted3,sophisticated3,helpful3,relaxed3,reliable3,curious3,worries3,imagination3,quiet3,lazy3,considerate3,outgoing3,rude3,talkative_a,findfault_a,thorough_a,depressed_a,original_a,reserved_a,helpful_a,careless_a,relaxed_a,curious_a,energy_a,quarrels_a,reliable_a,tense_a,ingenious_a,enthusiasm_a,forgiving_a,disorganized_a,worries_a,imagination_a,quiet_a,trusting_a,lazy_a,emotionallystable_a,inventive_a,assertive_a,cold_a,perseveres_a,moody_a,artistic_a,shy_a,considerate_a,efficient_a,calm_a,routine_a,outgoing_a,rude_a,plans_a,nervous_a,reflect_a,unartistic_a,cooperate_a,distracted_a,sophisticated_a,talkative_b,findfault_b,thorough_b,depressed_b,original_b,reserved_b,helpful_b,careless_b,relaxed_b,curious_b,energy_b,quarrels_b,reliable_b,tense_b,ingenious_b,enthusiasm_b,forgiving_b,disorganized_b,worries_b,imagination_b,quiet_b,trusting_b,lazy_b,emotionallystable_b,inventive_b,assertive_b,cold_b,perseveres_b,moody_b,artistic_b,shy_b,considerate_b,efficient_b,calm_b,routine_b,outgoing_b,rude_b,plans_b,nervous_b,reflect_b,unartistic_b,cooperate_b,distracted_b,sophisticated_b,talkative_c,findfault_c,thorough_c,depressed_c,original_c,reserved_c,helpful_c,careless_c,relaxed_c,curious_c,energy_c,quarrels_c,reliable_c,tense_c,ingenious_c,enthusiasm_c,forgiving_c,disorganized_c,worries_c,imagination_c,quiet_c,trusting_c,lazy_c,emotionallystable_c,inventive_c,assertive_c,cold_c,perseveres_c,moody_c,artistic_c,shy_c,considerate_c,efficient_c,calm_c,routine_c,outgoing_c,rude_c,plans_c,nervous_c,reflect_c,unartistic_c,cooperate_c,distracted_c,sophisticated_c,talkative_d,findfault_d,thorough_d,depressed_d,original_d,reserved_d,helpful_d,careless_d,relaxed_d,curious_d,energy_d,quarrels_d,reliable_d,tense_d,ingenious_d,enthusiasm_d,forgiving_d,disorganized_d,worries_d,imagination_d,quiet_d,trusting_d,lazy_d,emotionallystable_d,inventive_d,assertive_d,cold_d,perseveres_d,moody_d,artistic_d,shy_d,considerate_d,efficient_d,calm_d,routine_d,outgoing_d,rude_d,plans_d,nervous_d,reflect_d,unartistic_d,cooperate_d,distracted_d,sophisticated_d
39450,10157,3/21/13 13:49,3/21/13 15:53,15,11,15,5,12,4,15,1,13,2,15,11,3,11,13,1,15,6,15,3,12,6,1,15,10,15,3,7,14,3,15,13,15,2,15,15,9,1,1,1,15,15,11,14,13,6,15,1,9,2,4,10,9,11,14,15,6,5,13,6,4,15,1,15,15,12,15,1,12,11,3,14,7,10,5,15,6,13,15,15,11,15,7,10,15,11,3,9,15,12,14,6,15,1,5,2,4,11,1,3,11,15,6,9,14,14,6,14,1,15,10,13,3,11,13,3,15,10,12,3,14,3,13,15,11,15,14,10,13,2,5,15,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39480,10158,3/22/13 14:10,3/22/13 15:41,9,3,13,15,15,6,14,10,1,1,7,12,1,12,10,4,13,10,5,14,9,12,6,4,11,15,14,10,3,11,9,10,6,10,15,13,15,14,2,11,10,14,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,14,3,14,10,12,10,9,12,12,3,15,10,11,13,13,12,14,14,14,14,6,10,14,7,5,15,9,15,15,14,15,15,15,9,5,13,12,12,1,9,9,15,9,8,15,9,15,9,12,12,6,13,12,1,15,12,11,12,11,14,14,14,9,14,10,7,15,11,9,15,12,15,13,15,15,3,9,10,7,12,14,12,1,13,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39510,10159,3/25/13 16:59,3/25/13 18:28,9,13,15,11,14,5,10,3,7,1,10,15,13,10,12,11,13,5,13,12,3,10,12,15,11,13,11,11,7,5,15,12,5,7,15,15,14,2,12,3,7,5,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39540,10160,3/22/13 11:27,3/22/13 13:30,9,9,11,9,12,5,13,13,12,3,12,15,9,6,15,2,12,13,13,13,14,14,7,6,11,12,12,9,11,7,11,12,9,10,14,10,6,5,9,13,14,12,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39570,10161,4/1/13 14:06,4/1/13 16:33,11,10,8,12,11,11,10,12,12,4,5,12,4,8,11,10,10,11,8,10,10,11,1,15,9,12,13,11,10,8,10,12,12,10,10,11,12,11,10,10,13,11,5,11,5,10,11,11,8,12,10,6,3,4,12,12,12,10,12,13,9,8,5,11,13,7,12,15,11,10,13,15,13,12,8,11,11,6,11,13,15,5,11,12,13,5,15,8,11,13,6,9,12,5,10,11,10,7,2,4,10,10,12,11,11,11,9,6,4,11,7,11,11,10,11,5,10,8,11,8,11,9,7,10,11,12,11,7,12,13,12,9,9,6,5,10,10,9,11,13,11,10,8,12,8,6,11,8,11,11,9,13,11,14,14,13,14,9,8,6,8,12,11,12,14,12,9,9,8,11,11,15,11,12,10,12,11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,11,10,10,12,13,8,6,11,12,7,6,13,10,11,8,12,8,11,14,13,12,11,13,11,6,6,12,4,11,13,13,13,11,8,10,10,13,8,12,9,12,13,5,7,9,11,8,10,11,11,8,9,11,6,3,11,8,10,8,12,5,10,11,12,9,NA,10,9,10,9,11,8,10,11,11,10,9,8,9,5,12,10,11,5,10,10,8
39600,10162,3/30/13 13:18,4/15/13 18:04,10,10,11,8,14,11,12,8,13,2,11,15,9,14,15,13,12,10,15,4,5,13,11,7,4,15,11,14,15,6,5,15,14,11,10,12,12,5,14,3,14,13,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,12,13,15,12,12,9,8,15,6,9,8,14,15,14,13,10,12,15,5,11,5,6,14,15,13,8,11,15,14,10,8,14,3,9,12,8,9,14,2,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39630,10164,3/29/13 14:01,3/29/13 16:20,6,14,6,10,13,13,9,8,10,2,8,13,1,9,9,2,3,2,4,10,13,9,12,11,10,14,14,11,15,15,6,12,10,3,12,10,12,12,1,8,11,10,5,12,3,10,10,3,8,11,10,3,1,6,10,1,7,12,3,12,12,6,14,10,11,9,15,10,4,15,15,14,11,15,1,9,11,12,13,9,15,9,12,10,8,NA,12,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,12,10,5,9,13,9,9,12,11,6,4,11,11,9,2,6,10,9,15,12,7,10,15,5,7,13,12,4,14,14,12,9,15,13,7,8,7,11,13,3,10,7,15,5,11,10,7,10,9,10,10,10,11,6,4,12,12,9,8,4,11,6,10,10,5,10,11,10,9,11,11,6,15,8,11,8,9,9,6,11,7,5,9,1,9,7,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39660,10166,4/2/13 17:14,4/2/13 18:35,4,11,10,9,10,9,13,15,10,9,11,9,4,2,5,11,8,14,8,15,5,3,2,3,15,11,8,6,9,2,9,9,6,15,5,6,11,13,10,13,6,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,2,7,9,11,13,11,11,7,8,9,4,7,9,13,13,10,14,12,7,14,7,6,9,6,9,13,13,8,11,11,10,7,8,6,9,9,9,8,9,14,9,8,9,9,13,9,11,10,12,10,10,7,7,9,9,7,7,9,12,12,14,13,9,13,7,7,9,12,12,12,12,9,10,10,10,7,7,9,9,9,9,7,7,13,9,7,13,10,6,5,6,6,13,3,9,6,6,6,7,6,7,9,7,9,7,NA,6,9,8,8,10,12,8,8,8,6,8,8,7,7,10,7,8,8,6,6,9,14,7,12,12,9,9,9,6,6,13,6,9,9,7,7,7,7,7,9,9,7,11,7,9,13,7,5,9,9,7,9,9,9,9,7,7,7,9,9,9,9,11,NA,NA,NA,NA
39690,10167,3/30/13 11:13,3/30/13 13:09,12,9,8,2,12,6,5,7,9,2,11,14,3,5,10,10,7,5,10,9,13,11,4,7,11,15,9,13,15,5,10,10,14,15,15,15,11,11,2,5,10,12,14,15,9,6,10,11,15,11,6,8,1,12,12,4,5,6,5,11,11,12,7,11,6,5,15,10,10,12,5,9,5,12,2,13,13,15,11,11,14,9,7,12,8,11,13,6,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,11,5,12,6,9,9,14,15,10,2,11,6,9,7,4,7,6,12,7,5,7,13,12,13,7,7,6,12,7,9,13,13,3,12,6,12,9,10,3,10,6,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39720,10171,4/16/13 15:05,4/16/13 16:07,12,9,12,11,10,11,14,1,7,8,12,8,4,12,9,4,8,15,7,11,10,9,8,13,9,9,11,15,10,7,12,13,11,11,7,15,13,13,9,6,15,15,10,15,9,9,14,9,8,10,9,13,4,13,13,7,11,11,14,9,10,8,10,11,13,13,8,10,15,7,5,11,12,12,7,11,12,11,13,12,9,9,9,6,14,11,12,7,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39750,10172,4/8/13 16:58,4/8/13 18:33,1,12,5,14,15,9,13,15,1,1,7,15,9,12,14,4,3,10,10,13,2,14,14,1,12,15,12,3,4,8,1,15,9,15,13,1,15,12,14,13,9,10,5,15,8,13,6,10,14,8,11,6,9,11,11,9,6,14,5,8,11,12,11,6,7,12,14,9,9,8,6,11,10,15,3,9,13,11,9,6,15,5,13,4,4,10,6,NA,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,11,10,6,14,10,10,14,2,14,2,10,4,13,11,5,12,14,13,15,13,11,15,5,15,12,10,4,15,15,11,9,7,5,8,3,11,10,14,15,2,9,14,12,10,11,4,9,14,8,10,14,4,14,4,10,3,14,12,9,12,14,14,15,9,11,15,6,14,11,12,2,14,15,12,9,5,3,9,2,14,5,13,15,2,12,15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,6,10,13,8,9,11,7,15,6,10,6,11,11,7,6,11,9,15,6,6,12,6,15,13,11,6,12,15,9,8,10,8,9,5,10,6,8,14,4,10,13,10
39780,10173,4/4/13 14:01,4/4/13 15:36,10,3,14,7,15,6,13,9,15,6,11,15,8,9,14,3,14,15,14,11,15,15,10,15,9,12,9,13,15,1,12,15,12,4,4,12,10,4,10,10,13,12,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,6,11,4,12,9,11,11,10,15,6,6,10,10,13,7,10,11,9,12,9,11,10,11,11,9,10,11,6,11,11,11,12,12,5,10,9,9,7,15,9,10,6,7,7,3,11,2,13,9,12,9,13,15,9,2,11,10,13,13,12,9,9,12,9,12,10,13,12,11,9,13,5,9,10,12,10,12,4,9,9,11,4,15,5,12,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39810,10174,4/10/13 14:15,4/10/13 16:17,13,15,12,11,15,9,14,10,5,12,15,10,10,9,9,14,11,3,9,1,1,7,9,7,12,2,13,15,5,15,8,8,12,2,6,15,15,11,12,5,12,5,9,12,15,15,11,15,10,8,10,9,10,8,9,7,5,9,11,1,6,9,12,9,9,15,5,11,12,4,12,6,12,10,8,12,12,7,9,10,15,14,12,1,10,15,7,12,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,15,14,9,13,7,11,9,4,15,10,13,15,15,15,7,1,1,12,14,7,11,9,2,12,12,10,8,11,9,9,6,12,7,15,11,9,6,13,13,13,9,9,10,15,15,11,14,11,6,13,9,5,15,11,13,11,12,13,7,7,1,15,15,6,13,9,1,13,12,12,9,14,12,11,6,13,7,14,13,10,10,14,15,9,10,14,3,15,15,11,15,11,10,10,10,1,14,10,13,14,14,12,10,3,3,15,15,10,11,11,1,9,6,10,9,14,9,11,9,15,3,13,13,13,11,15,14,7,9,12,7,15,15,11,12,14,11,14,10,2,15,10,9,11,15,13,11,8,10,15,15,9,13,15,1,9,13,12,7,14,10,13,6,15,3,15,14,14,6,15,13,9,13,14,7
39840,10175,4/5/13 14:05,4/5/13 16:18,8,11,7,5,11,8,14,10,11,2,9,13,5,11,12,8,6,13,8,12,13,11,9,10,10,11,7,11,13,7,11,14,8,6,10,11,7,5,10,15,12,12,7,14,11,6,9,12,11,9,12,5,5,10,11,5,10,11,3,10,6,10,11,7,5,10,11,8,5,11,8,5,10,12,5,8,11,10,11,8,8,5,11,10,6,8,4,11,9,11,4,10,7,11,12,8,10,4,5,11,10,6,6,13,4,11,12,10,11,8,10,6,8,5,11,12,11,5,12,5,8,8,11,12,10,7,13,8,11,6,9,8,5,11,13,11,14,12,12,8,14,2,13,15,5,7,14,12,12,6,13,6,4,12,4,12,5,13,11,13,6,14,8,11,12,7,13,14,6,7,10,12,5,13,3,8,6,11,8,8,8,15,8,8,6,8,4,15,4,8,8,8,4,3,12,11,14,11,4,12,9,6,5,7,8,9,7,9,8,10,6,8,8,7,6,10,12,12,7,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,12,1,13,8,12,10,10,13,8,5,12,8,12,11,12,8,4,12,8,8,8,12,13,12,5,10,5,11,8,11,12,11,8,8,5,11,5,12,6,10,8,10
39870,10176,4/6/13 13:43,4/6/13 15:19,15,1,11,11,15,7,14,1,6,6,15,14,4,15,12,4,13,15,14,9,9,12,13,15,13,7,14,7,12,4,7,14,13,15,13,14,11,4,4,9,14,13,15,13,12,11,10,13,13,14,14,13,13,11,13,14,12,12,13,12,12,9,3,15,10,6,14,7,12,11,10,12,13,11,13,12,12,9,10,12,14,15,6,10,11,13,5,3,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,12,7,12,8,12,11,11,9,11,4,14,15,9,14,15,3,11,10,9,10,11,7,12,11,13,11,7,14,13,13,11,12,2,11,14,12,13,14,13,12,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
